image_id,filename,lo_id,topic,description,keywords
IMG001,tangent.png,957,tangent line,"Tangent line to a curve","tangent,slope,derivative,instantaneous"
IMG002,tangent_cubic.jpeg,957,tangent line,"Tangent to cubic function","tangent,cubic,slope"
IMG003,tangent_abs.jpg,957,tangent line,"Absolute value function showing cusp","tangent,absolute value,cusp,non-differentiable"
IMG004,secant_to_tangent.png,957,tangent line,"Secant approaching tangent limit concept","secant,tangent,limit,slope"
IMG005,slope_at_point.png,957,tangent line,"Slope at a specific point on curve","slope,derivative,point"
IMG006,power_rule_x2.png,957,power rule,"Derivative of x squared equals 2x","power rule,quadratic,x^2,2x"
IMG007,power_rule_x3.jpg,957,power rule,"Derivative of x cubed equals 3x squared","power rule,cubic,x^3,3x^2"
IMG008,power_rule_poly.png,957,power rule,"Polynomial derivative term by term","power rule,polynomial,terms"
IMG009,power_rule_negative_fractional.png,957,power rule,"Negative and fractional exponents","power rule,negative exponent,fractional,sqrt"
IMG010,chain_rule_composite.png,957,chain rule,"Composite function f(g(x)) diagram","chain rule,composite,nested,inner,outer"
IMG011,chain_rule_sin_x2.png,957,chain rule,"Derivative of sin(x^2) worked example","chain rule,sin,trig,composite"
IMG012,chain_rule_exp_sin.png,957,chain rule,"Derivative of e^(sin x)","chain rule,exponential,sin,e^x"
IMG013,chain_rule_nested.png,957,chain rule,"Multi-level nested chain rule","chain rule,nested,multiple layers"
IMG014,product_rule.png,957,product rule,"Product rule (fg)' = f'g + fg'","product rule,multiplication,derivative"
IMG015,product_rule_trig.png,957,product rule,"Product rule with x*sin(x)","product rule,trig,xsinx"
IMG016,quotient_rule.png,957,quotient rule,"Quotient rule (f/g)' formula","quotient rule,division,fraction"
IMG017,critical_points_max.png,957,critical points,"Local maximum where f'(x)=0","critical points,maximum,f'=0,extrema"
IMG018,critical_points_min.png,957,critical points,"Local minimum where f'(x)=0","critical points,minimum,f'=0,extrema"
IMG019,critical_points_saddle.png,957,critical points,"Saddle point inflection","critical points,saddle,inflection"
IMG020,concavity_up_down.png,957,concavity,"Concave up and concave down regions","concavity,second derivative,curvature"
IMG021,concavity_mixed.png,957,concavity,"Mixed concavity on complex curve","concavity,mixed,regions"
IMG022,inflection_point.png,957,inflection,"Inflection point where f''=0","inflection,concavity change,second derivative"
IMG023,second_derivative_test.png .jpg,957,second derivative,"Second derivative test for extrema","second derivative,test,max,min,classification"

